Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal)
2D3,21.0,2.705,SHWR,1.746,52.54050000000001,486.21,6.2099999999999795,0.8398962527717961,1.466458857339556,3.9667712091034995,486.2550833333333,1.0,4.72293
4D1,21.0,15.833,SHWR,2.0,52.54050000000001,486.41,6.410000000000025,0.8398962527717961,1.6797925055435923,26.596154740271697,486.6738833333334,1.0,31.666
4D1,21.0,13.5,SHWR,2.0,52.54050000000001,486.81,6.810000000000002,0.8398962527717961,1.6797925055435923,22.677198824838495,487.035,1.0,27.0
2D3,21.0,4.129,SHWR,2.0,52.54050000000001,487.27,7.269999999999982,0.8398962527717961,1.6797925055435923,6.935863255389492,487.3388166666667,1.0,8.258
2D6,22.0,6.837999999999999,SHWR,2.0,52.52900000000001,511.31,7.310000000000002,0.839925725536649,1.679851451073298,11.48682422243921,511.4239666666667,1.0,13.675999999999998
4D3,23.0,3.406,SHWR,1.405,52.457499999999996,540.56,12.559999999999945,0.840108726066275,1.1803527601231163,4.020281500979334,540.6167666666666,1.0,4.78543
4D3,23.0,1.965,SHWR,1.8880000000000001,52.457499999999996,548.61,20.610000000000014,0.840108726066275,1.5861252748131272,3.116736165007795,548.64275,1.0,3.7099200000000003
2D0,23.0,3.9789999999999996,SHWR,2.0,52.457499999999996,549.08,21.08000000000004,0.840108726066275,1.68021745213255,6.685585242035415,549.1463166666667,1.0,7.957999999999999
3E7,25.0,8.385,SHWR,2.0,52.3495,585.82,9.82000000000005,0.8403843544744256,1.6807687089488512,14.093245624536117,585.9597500000001,1.0,16.77
3E7,25.0,3.406,SHWR,2.0,52.3495,586.25,10.25,0.8403843544744256,1.6807687089488512,5.724698222679788,586.3067666666667,1.0,6.812
2D9,26.0,12.237,SHWR,2.0,52.361999999999995,608.79,8.789999999999964,0.8403525016762987,1.6807050033525974,20.566787126025734,608.9939499999999,1.0,24.474
2D9,26.0,6.66,SHWR,2.0,52.361999999999995,618.04,18.039999999999964,0.8403525016762987,1.6807050033525974,11.1934953223283,618.151,1.0,13.32
6D1,27.0,7.832999999999999,SHWR,2.0,52.308,630.29,6.289999999999964,0.8404900146749187,1.6809800293498374,13.167116569897274,630.4205499999999,1.0,15.665999999999999
4D4,27.0,9.04,SHWR,2.0,52.308,631.6,7.600000000000023,0.8404900146749187,1.6809800293498374,15.196059465322529,631.7506666666667,1.0,18.08
