Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),End Time of Year (hr),Type,Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
2D1,9.0,5.5760000000000005,SHWR,2.0,52.9875,200.14,8.139999999999986,0.8387421890747833,1.6774843781495663,9.353652892561984,200.2329333333333,1.0,11.152,11.152000000000001,0.42727019999999993,2057.2717655298356,0.32251562185043336,1.7983471074380166,0.7991321518495712,620.4809123023831,87.91740377154794,0.0007997629407111573,0.7384816371108718,0.5,7.5,0.7392814000515829,2.0,0.7392814000515829,0.4998450760991211,889.6194391355697,159.54437574167318,2.70532979709817,214.35604781791787,1195.2493226327101,0.7384816371108718
2D1,9.0,10.378,SHWR,1.916,52.9875,200.4,8.400000000000006,0.8387421890747833,1.6070300342672847,16.677757695625882,200.57296666666667,1.0,19.884248,19.884248,0.43297262879010195,3717.114290524641,0.3089699657327152,3.2064903043741184,0.7837862442760564,1085.0852732757633,87.98019974626317,0.0007126959997535431,0.7091096092522067,0.5,7.5,0.7098223052519602,1.916,0.7098223052519602,0.5010324948324131,1593.54929694211,153.55071275217864,2.6992671064625,206.1843343274454,2139.7810216502285,0.7091096092522067
6D4,9.0,9.957,SHWR,2.0,52.9875,211.47,19.47,0.8387421890747833,1.6774843781495663,16.702711953235234,211.63595,1.0,19.914,19.914,0.42727019999999993,3673.6468739922116,0.32251562185043336,3.211288046764765,0.7991321518495712,1107.9857323878816,87.91740377154794,0.0007997629407111573,0.7384816371108718,0.5,7.5,0.7392814000515829,2.0,0.7392814000515829,0.4998450760991211,1588.58334925984,159.54437574167318,2.70532979709817,214.35604781791787,2134.3431681230086,0.7384816371108718
2E9,10.0,8.984,SHWR,1.561,52.9165,232.29,16.289999999999992,0.8389266069084378,1.3095644333840712,11.765126869522495,232.4397333333333,1.0,14.024024,14.024023999999999,0.4561625256419957,2765.8013491738234,0.25143556661592853,2.258897130477502,0.7022749357402568,685.8550736390546,88.21152896538061,0.00043126494691414496,0.5827133612749611,0.5,7.5,0.5831446262218752,1.561,0.5831446262218752,0.505755928254786,1145.5544494623293,127.51051307461368,2.6768659605311527,170.8513413464349,1534.9284506563713,0.5827133612749611
2E9,10.0,7.59,SHWR,2.0,52.9165,233.61,17.610000000000017,0.8389266069084378,1.6778532138168756,12.734905892870085,233.7365,1.0,15.18,15.18,0.42727019999999993,2804.1620584245816,0.3221467861831243,2.4450941071299135,0.7992129631772249,844.8640519744602,87.9008138064032,0.000803832794447068,0.7380295429213205,0.5,7.5,0.7388333757157676,2.0,0.7388333757157676,0.49986337694089883,1211.9043207578297,159.67118850564293,2.706970293623293,214.55984067737992,1628.5091907413137,0.7380295429213205
1E5,10.0,7.119,SHWR,2.0,52.9165,234.01,18.009999999999987,0.8389266069084378,1.6778532138168756,11.944637029162335,234.12865,1.0,14.238,14.238,0.42727019999999993,2630.148839779261,0.3221467861831243,2.293362970837662,0.7992129631772249,792.4357293815787,87.9008138064032,0.000803832794447068,0.7380295429213205,0.5,7.5,0.7388333757157676,2.0,0.7388333757157676,0.49986337694089883,1136.699190971672,159.67118850564293,2.706970293623293,214.55984067737992,1527.4515057822675,0.7380295429213205
1E5,11.0,7.119,SHWR,2.0,52.919,258.01,18.009999999999987,0.8389201204877499,1.6778402409754998,11.944544675504586,258.12865,1.0,14.238,14.238,0.42727019999999993,2630.0225930389415,0.3221597590245002,2.293455324495417,0.7992101206182681,792.4267839869053,87.90139780346951,0.0008036892430486331,0.7380454480622862,0.5,7.5,0.7388491373053349,2.0,0.7388491373053349,0.4998627332395061,1136.6674139622824,159.66672481560366,2.7069125468484985,214.55266674520328,1527.4004345591022,0.7380454480622862
2D3,12.0,2.705,SHWR,1.746,52.8695,270.21,6.20999999999998,0.8390484544627841,1.4649786014920207,3.962767117035917,270.25508333333335,1.0,4.72293,4.72293,0.44428736987292866,908.021096532394,0.2810213985079792,0.7601628829640836,0.7483543461534553,246.16959323565166,88.07510420486119,0.0005661439222953701,0.648470476277659,0.5,7.5,0.6490366201999543,1.746,0.6490366201999543,0.5033781572557805,382.42942464162473,141.37871520947309,2.6901409653311927,189.6747742473266,513.0702643390185,0.648470476277659
2D3,12.0,4.129,SHWR,2.0,52.8695,271.27,7.269999999999982,0.8390484544627841,1.6780969089255682,6.9288621369536685,271.3388166666667,1.0,8.258,8.258,0.42727019999999993,1526.8555257641865,0.32190309107443205,1.3291378630463297,0.7992663638169656,459.70796567032386,87.88983678750961,0.0008065349161198165,0.7377307116611328,0.5,7.5,0.7385372465772526,2.0,0.7385372465772526,0.4998754691098509,659.6287454483876,159.75508487488196,2.708055699653593,214.6946851901519,886.4743551501371,0.7377307116611328
2D1,12.0,5.5760000000000005,SHWR,2.0,52.8695,272.14,8.139999999999986,0.8390484544627841,1.6780969089255682,9.357068364168967,272.23293333333334,1.0,11.152,11.152000000000001,0.42727019999999993,2061.9390679731428,0.32190309107443205,1.7949316358310332,0.7992663638169656,620.8117259815273,87.88983678750961,0.0008065349161198165,0.7377307116611328,0.5,7.5,0.7385372465772526,2.0,0.7385372465772526,0.4998754691098509,890.7943532623419,159.75508487488196,2.708055699653593,214.6946851901519,1197.137564620287,0.7377307116611328
2D1,12.0,10.378,SHWR,1.916,52.8695,272.4,8.399999999999977,0.8390484544627841,1.6076168387506942,16.683847552554706,272.5729666666666,1.0,19.884248,19.884248,0.43297262879010195,3725.5472534908877,0.3083831612493059,3.200400447445297,0.7839056910828905,1085.6469147616442,87.95267262200312,0.0007187877221582761,0.7083879206337682,0.5,7.5,0.7091067083559265,1.916,0.7091067083559265,0.501060933451709,1595.644964788932,153.75264644333512,2.7019910789481485,206.50902038792958,2143.150613585933,0.7083879206337682
6D5,13.0,6.97,SHWR,1.4409999999999998,52.80200000000001,295.52,7.519999999999982,0.8392231261455352,1.2093205247757162,8.428964057686741,295.63616666666667,1.0,10.04377,10.043769999999999,0.46356150137828883,2017.3746302197912,0.23167947522428373,1.6148059423132577,0.6679771132740532,467.37379323478376,88.26180604011645,0.0003635464211538819,0.5389294438367803,0.5,7.5,0.5392929902579342,1.4409999999999998,0.5392929902579342,0.5072394283433063,826.1387499606509,118.52779769880215,2.6720169296300242,158.74121620404745,1106.4262769422107,0.5389294438367803
2D4,13.0,4.476,SHWR,2.0,52.80200000000001,296.47,8.470000000000027,0.8392231261455352,1.6784462522910704,7.512725425254831,296.5446,1.0,8.952,8.952,0.42727019999999993,1657.3151973050892,0.3215537477089296,1.4392745747451687,0.7993429253359136,498.49318384282884,87.87407897586537,0.0008104267826196665,0.7373021539878954,0.5,7.5,0.7381125807705151,2.0,0.7381125807705151,0.49989280429428445,715.602758859028,159.8755046601939,2.7096137528399824,214.8882605399674,961.839854176894,0.7373021539878954
6D5,13.0,3.717,SHWR,2.0,52.80200000000001,297.1,9.100000000000025,0.8392231261455352,1.6784462522910704,6.238784719765909,297.1619500000001,1.0,7.434,7.434,0.42727019999999993,1376.2825264483952,0.3215537477089296,1.1952152802340912,0.7993429253359136,413.96317344588795,87.87407897586537,0.0008104267826196665,0.7373021539878954,0.5,7.5,0.7381125807705151,2.0,0.7381125807705151,0.49989280429428445,594.2572508219408,159.8755046601939,2.7096137528399824,214.8882605399674,798.7396644270589,0.7373021539878954
6D5,13.0,1.859,SHWR,2.0,52.80200000000001,297.31,9.310000000000002,0.8392231261455352,1.6784462522910704,3.1202315830091,297.3409833333333,1.0,3.718,3.718,0.42727019999999993,688.3263967359609,0.3215537477089296,0.5977684169909001,0.7993429253359136,207.03727184178254,87.87407897586537,0.0008104267826196665,0.7373021539878954,0.5,7.5,0.7381125807705151,2.0,0.7381125807705151,0.49989280429428445,297.2085631633005,159.8755046601939,2.7096137528399824,214.8882605399674,399.4772763437994,0.7373021539878954
6D5,13.0,5.421,SHWR,2.0,52.80200000000001,308.55,20.55000000000001,0.8392231261455352,1.6784462522910704,9.098857133669895,308.64035,1.0,10.842,10.842,0.42727019999999993,2007.2175345377323,0.3215537477089296,1.7431428663301074,0.7993429253359136,603.7380584477156,87.87407897586537,0.0008104267826196665,0.7373021539878954,0.5,7.5,0.7381125807705151,2.0,0.7381125807705151,0.49989280429428445,866.6851107629112,159.8755046601939,2.7096137528399824,214.8882605399674,1164.9092603871634,0.7373021539878954
