Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal),Mixed Water Volume (gal),Effectiveness Generic Equal (-),Savings Generic Equal (Btu),Potable Flow Rate Unequal-WaterHeater (gal/min),Potable Flow Unequal-WaterHeater (gal),Effectiveness Generic Unequal_WaterHeater (-),Savings Generic Unequal_WaterHeater (Btu),Fixture Cold Temperature Generic (deg F),Flow_Delta Generic (gal/min),Flow_Cold_ThroughDWHR_Generic,FlowRate Effectiveness Minimum,FlowRate Effectiveness Maximum,FlowRate_Cold_Effectiveness Generic,FlowRate_Draw_Effectiveness Generic,FlowRate_Minimum,"Effectiveness_Draw_Generic Equal, Flow=Cold","HeatRecovered_Draw Generic Equal, Flow=Cold",HeatRecoveryRate_Equal Generic (Btu/min),Flow Ratio Generic,HeatRecoveryRate_Unequal-Fixture Generic (Btu/min),HeatRecovered_Draw_Generic_Unequal-Fixture (Btu),Flow_Cold_ThroughDWHR_PostCalcuations Generic
2D3,21.0,4.129,SHWR,2.0,52.54050000000001,487.27,7.27,0.8398962527717961,1.6797925055435925,6.935863255389492,8.258,0.42727019999999993,1536.4916402840242,0.3202074944564078,1.3221367446105077,0.7996380814215444,460.386481631342,87.76937519209307,0.004894850250453886,0.7344671722035778,0.5,7.5,0.7393620224540317,2.0,0.7393620224540317,0.49984178205700563,664.4882371976175,160.93200222756542,2.705034799274324,216.21433705149263,892.748997685613,0.7344671722035778
2D6,22.0,6.837999999999999,SHWR,2.0,52.52900000000001,511.31,7.31,0.8399257255366491,1.6798514510732983,11.48682422243921,13.675999999999998,0.42727019999999993,2545.1278865020613,0.320148548926702,2.1891757775607883,0.7996510089101486,762.4810192548879,87.7666599406151,0.004897870065218912,0.7343939434673855,0.5,7.5,0.7392918135326044,2.0,0.7392918135326044,0.4998446506422525,1100.596064622285,160.95291965812885,2.7052916904940076,216.2477161551492,1478.70188306891,0.7343939434673855
2D0,23.0,3.979,SHWR,2.0,52.4575,549.08,21.08,0.8401087260662751,1.6802174521325501,6.685585242035415,7.958,0.42727019999999993,1483.0160250934948,0.31978254786745014,1.2724147579645841,0.7997312852299434,443.8253339729186,87.74978303694803,0.004916670691563763,0.7339391105442429,0.5,7.5,0.7388557812358066,2.0,0.7388557812358066,0.49986246189944306,640.9489552479928,161.08292416385845,2.706888205780578,216.45518908074936,861.2751973523017,0.7339391105442429
3E7,25.0,8.385,SHWR,2.0,52.3495,585.82,9.82,0.8403843544744256,1.6807687089488512,14.093245624536117,16.77,0.42727019999999993,3131.6032757489343,0.31923129105114884,2.676754375463883,0.7998522194904343,935.7274019996236,87.7243065534974,0.004945151413745297,0.7332535848896806,0.5,7.5,0.7381987363034259,2.0,0.7381987363034259,0.4998892878990506,1352.3255918276768,161.27914034915645,2.709297512503366,216.7683856440454,1817.6029136253205,0.7332535848896806
3E7,25.0,3.406,SHWR,2.0,52.3495,586.25,10.25,0.8403843544744256,1.6807687089488512,5.724698222679787,6.812,0.42727019999999993,1272.0621058080942,0.31923129105114884,1.087301777320213,0.7998522194904343,380.09392143240524,87.7243065534974,0.004945151413745297,0.7332535848896806,0.5,7.5,0.7381987363034259,2.0,0.7381987363034259,0.4998892878990506,549.3167520292269,161.27914034915645,2.709297512503366,216.7683856440454,738.3131215036186,0.7332535848896806
6D1,27.0,7.832999999999998,SHWR,2.0,52.308,630.29,6.29,0.8404900146749187,1.6809800293498374,13.167116569897274,15.665999999999997,0.42727019999999993,2927.7499455668717,0.3190199706501627,2.498883430102724,0.7998985867943808,874.2873249120397,87.71452205720354,0.0049561218473027635,0.7329906421991089,0.5,7.5,0.7379467640464117,2.0,0.7379467640464117,0.49989957124799433,1263.8897124646332,161.35448901629434,2.7102226033668386,216.88867395774471,1698.888983111014,0.7329906421991089
6D1,27.0,7.584,SHWR,1.935,52.308,633.95,9.95,0.8404900146749187,1.6263481783959677,12.334224584955017,14.67504,0.43168851598879127,2770.9139849026647,0.30865182160403243,2.3408154150449816,0.7880816326826199,806.8849776353824,87.76551816772144,0.004594571716182494,0.7104963523508716,0.5,7.5,0.7150909240670541,1.935,0.7150909240670541,0.5008225189048551,1188.000692865619,156.64566097911643,2.7059496000798844,210.47386312407804,1596.2337779330078,0.7104963523508716
6D1,27.0,5.7189999999999985,SHWR,1.887,52.308,634.14,10.14,0.8404900146749187,1.5860046576915714,9.070360637338096,10.791752999999998,0.43492564962151087,2052.9589850970656,0.3009953423084285,1.7213923626619023,0.778811557926134,586.3885954633158,87.80252984757465,0.004341447488732442,0.6938145310664954,0.5,7.5,0.6981559785552278,1.887,0.6981559785552278,0.5014937062897052,875.8128247036864,153.1409030781057,2.702834406582008,205.70386965539487,1176.420430559203,0.6938145310664954
6D1,27.0,5.222,SHWR,2.0,52.308,637.38,13.38,0.8404900146749187,1.6809800293498374,8.778077713264851,10.444,0.42727019999999993,1951.8332970445817,0.3190199706501627,1.6659222867351497,0.7998985867943808,582.8582166080269,87.71452205720354,0.0049561218473027635,0.7329906421991089,0.5,7.5,0.7379467640464117,2.0,0.7379467640464117,0.49989957124799433,842.5931416430891,161.35448901629434,2.7102226033668386,216.88867395774471,1132.592655407343,0.7329906421991089
6D1,27.0,13.055,SHWR,2.0,52.308,642.0,18.0,0.8404900146749187,1.6809800293498374,21.945194283162127,26.11,0.42727019999999993,4879.583242611454,0.3190199706501627,4.164805716837874,0.7998985867943808,1457.1455415200664,87.71452205720354,0.0049561218473027635,0.7329906421991089,0.5,7.5,0.7379467640464117,2.0,0.7379467640464117,0.49989957124799433,2106.4828541077227,161.35448901629434,2.7102226033668386,216.88867395774471,2831.481638518357,0.7329906421991089
6D1,27.0,3.73,SHWR,1.662,52.308,644.3,20.3,0.8404900146749187,1.396894404389715,5.2104161283736365,6.19926,0.4497431750842484,1219.488441188599,0.2651055956102852,0.9888438716263638,0.7287954631275333,315.2148303523404,87.96836796425605,0.0033000940352146957,0.6148352410991447,0.5,7.5,0.6181353351343594,1.662,0.6181353351343594,0.5045150837853801,508.79145948149716,136.40521701916813,2.688731586002511,182.97761509382318,682.5065042999604,0.6148352410991447
4D1,28.0,15.833,SHWR,2.0,52.3065,654.41,6.41,0.8404938310989177,1.6809876621978357,26.61507765557833,31.666,0.42727019999999993,5918.088151743101,0.3190123378021645,5.050922344421671,0.7999002616546319,1767.226229398741,87.71416845342792,0.004956518644182006,0.7329811431938053,0.5,7.5,0.7379376618379873,2.0,0.7379376618379873,0.49989994267817417,2554.768736827581,161.35721195146726,2.7102560330348013,216.89302110167208,3434.067203102774,0.7329811431938053
4D1,28.0,13.5,SHWR,2.0,52.3065,654.81,6.81,0.8404938310989177,1.6809876621978357,22.693333439670774,27.0,0.42727019999999993,5046.055077908915,0.3190123378021645,4.30666656032922,0.7999002616546319,1506.8246129528832,87.71416845342792,0.004956518644182006,0.7329811431938053,0.5,7.5,0.7379376618379873,2.0,0.7379376618379873,0.49989994267817417,2178.322361344808,161.35721195146726,2.7102560330348013,216.89302110167208,2928.055784872573,0.7329811431938053
